Name,Address,City,StateProvince,Country,Latitude,Longitude,Photo,Description,Website Link,InterestTags,Budget,TimeOpen,TimeClosed,Time to Visit,DaysOpen,DaysClosed,HourstoComplete,MustSee,Group
Edo Museum,"1 Chome-4-1 Yokoami, Sumida City",Tokyo,Kantō,Japan,35.6812,139.8006,TOK_EM_01.jpg,"The Edo-Tokyo Museum traces the 400-year history of Edo-Tokyo by way of architectural models, replicas, woodblock prints, and both original or recreated maps. The permanent exhibition delves into touchstone literature, historical pleasure districts, traditional homes, the evolution of the ruling class' lifestyle, and more. And the upper floor restaurant is a treat for its panoramic view of Tokyo.Visit the Edo Museum website for more information. ",https://www.edo-tokyo-museum.or.jp/en/,"1600,1700",$,09:30,17:30,All,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,1.5,No,4
Cat Cafe MOCHA,"1 Chome−14−25, Jingumae, Shibuya City",Tokyo,Kantō,Japan,35.670005,139.703022,TOK_CCM_01.jpg,"Cat Cafe MOCHA operates a handful of locations throughout the city, but its shop in Harajuku is a stylish, light, airy, all-contemporary nook for the ultimate ""kawaii"" experience. Almost twenty cats (all different breeds) roam a light-flooded, fourth-floor café that's kitted out with ample seats, trailing plants, and complimentary Wifi. A wooden, sculptural tree stands in the center with seats built into the branches so cats can perch in the canopy, while gold-painted birdcages hang across the ceiling like stepping stones.Visit the Cat Cafe MOCHA website for more information.",http://catmocha.jp/,"1020,1300,1910",$$,10:00,20:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,1
Origami Kaikan,"1 Chome-7-14 Yushima, Bunkyo City",Tokyo,Kantō,Japan,35.7029,139.7654,TOK_OK_01.jpg,"Origami Kaikan devotes each of its floors to the art of origami. The ground floor takes shape as a shop (some art is on display, too), the second as a full gallery, and the fourth as an active workshop. It's not all for show: Guests can partake in classes to learn the craft themselves, while the institution dyes a variety of papers directly onsite. The gallery's art rotates seasonally and ranges from pocket-sized dolls to fabulous floral bouquets (or even a single rose). Naturally, at least one paper crane—or even a whole wall of them—are among the familiar motifs.",https://matcha-jp.com/en/861,"1100,1600,1910",Free,09:30,18:00,All,"Mon, Tues, Wed, Thurs, Fri, Sat",Sun,1.5,No,3
Disneyland Tokyo,"1-1 Maihama, Urayasu",Chiba,Kantō,Japan,35.6329,139.8804,TOK_DT_01.jpg,"Many who visit Tokyo also take a day to enjoy the many attractions of Tokyo Disneyland and DisneySea.
What better way to enjoy a summer day than by visiting the Tokyo DisneySea, a theme park with Disney characters which are sure to keep your inner child going for days to come. The Tokyo DisneySea is an award-winning park which has been internationally recognized for its design and concept.Visit Disneyland Tokyo’s website for tickets and more information.",https://www.tokyodisneyresort.jp/en/,"1300,1400,1910",$$$$,08:00,22:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,6,No,5
Memory Lane (Piss Alley),"1 Chome-2 Nishishinjuku, Shinjuku City",Tokyo,Kantō,Japan,35.693032,139.699471,TOK_MLT_01.jpg,"Located in Shinjuku, the Piss Alley (also known as Memory Lane) is a small, cramped alleyway with many eateries and tiny bars.
Unlike the name suggests, the Piss Alley is not a smelly back street, but a cool place with lots of bars and small shops stuffed together as tightly as possible.",https://tokyocheapo.com/restaurant/piss-alley/,"1500,1900",$$,16:00,23:59,Evening,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2.5,No,4
Onjuku Beach,"Onjuku Beach, Isumi District",Chiba,Kantō,Japan,35.18247,140.355451,TOK_OB_01.jpg,"Onjuku Beach is a pleasant beach located on Boso peninsula, in the Chiba prefecture. Onjuku Beach (御宿) is much less crowded than other beaches on the peninsula (for those who prefer a busier beach, hit Kujukuri Beach!). The beach has two iconic statues of two Arabian knights on a camel’s back.",https://en.japantravel.com/chiba/two-hours-from-tokyo-onjuku-beach/26601,1030,Free,00:01,23:59,Afternoon,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,6,No,4
Isshiki Beach,"Isshiki Beach, Horiuchi, Hayama, Miura District",Kanagawa,Kantō,Japan,35.263606,139.576705,TOK_IB_01.jpg,"Isshiki Beach is a very cool and relaxed beach, which is perfect for families and those who wants to avoid crowds or too much fuss. Isshiki Beach (一色海岸) is situated in Zushi City, not too far from the popular historic city, Kamakura. The beach is surrounded with greenery and rocky formations, which make the scenery very beautiful.  It is no wonder that the Imperial Villa is located here.",https://en.japantravel.com/kanagawa/hayama-isshiki-beach-in-early-summer/5990,"1000,1030,1300,1900",Free,00:01,23:59,Afternoon,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,4,No,1
Yuigahama Beach,"4 Chome Yuigahama, Kamakura",Kanagawa,Kantō,Japan,35.30933,139.542248,TOK_YB_01.jpg,"For those who are party lovers and looking for summer fun and craziness, this beach is perfect. It’s the most crowded beach in the Kanagawa prefecture, where everything is happening. Yuigahama Beach (由比ヶ浜) is 3.2 km long and lined with beach shacks, and is easy to access from Kamakura station.",https://livejapan.com/en/in-tokyo/in-pref-kanagawa/in-kamakura/spot-lj0002320/,1030,Free,00:01,23:59,Afternoon,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,4,No,3
Southern Beach Chigasaki,"4 Chome-12986-5 Nakakaigan, Chigasaki",Kanagawa,Kantō,Japan,35.317511,139.398751,TOK_SBC_01.jpg,"Looking for hidden beaches?? Southern Beach Chigasaki (サザンビーチ茅ヶ崎) is located at the western end of Shonan Coast. The main beach is pretty crowded during summer where many beach huts and lifeguards are. However, head off the center of the beach, and visitors will find that there are only locals enjoying their time surfing, sunbathing, BBQ and so on. The great view of Mt Fuji is another attraction.",https://en.japantravel.com/kanagawa/southern-beach-chigasaki/2274,"1030,1900,2100",Free,00:01,23:59,Afternoon,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,4,No,2
Good Heavens Comedy Club,"Setagaya, Daizawa５chome３２−５",Tokyo,Kantō,Japan,35.658954,139.667675,TOK_GHCC_01.jpg,"Good Heavens Comedy Club is Stand-up Tokyo’s flagship comedy show in the hip neighborhood of Shimokitazawa. Held in the Good Heavens British Bar, it is Tokyo’s only weekly comedy show (every Wednesday). Featuring a line-up of Tokyo’s best stand-up comedians, some newer comics trying out the mic for the first few times, as well as established acts such as Stuart Goldsmith, Phil Wang, and Hannibal Buress, it is just 1,500 JPY to enter, which includes a drink.Visit the Stand-Up Tokyo website for upcoming show details and more information.",http://www.standuptokyo.com/good-heavens-comedy-club/,"1130,1500",$$,18:00,01:00,Night,Wed,"Sun, Mon, Tues, Thurs, Fri, Sat",2.5,No,1
Craft Beer and Comedy,"Minato City, Roppongi, 3 Chome−15−24",Tokyo,Kantō,Japan,35.662699,139.735228,TOK_CBC_01.jpg,"This Stand-Up Tokyo show (also called Comedy Sumo Slam) is a little bit of everything and a lot of fun. It features comedians in a competitive format. Two different 3-person teams must compete for audience approval and points are then awarded by the host. They combine short stand-up sketches, some improvised games, one-liner contests, and topical pieces from audience suggestions. There isn’t really anything at stake (other than bragging rights), but that does not stop the show from being laugh-out-loud funny. The show happens twice a month on Saturday nights at Two Dogs Taproom in Roppongi. Tickets are 1,500 yen at the door and include one drink. The show starts at 7:00 pm, but make sure to show up early to claim one of the limited seats.Visit the Craft Beer & Comedy website for upcoming show details, tickets, and more information.",http://www.standuptokyo.com/,"1130,1510",$$,19:00,22:00,Evening,Sat,"Sun, Mon, Tues, Wed, Thurs, Fri",2,No,2
Ruby Room,"2 Chome−25−17, Dogenzaka, Shibuya City",Tokyo,Kantō,Japan,35.6596,139.6976,TOK_RR_01.jpg,"The much-beloved nucleus of the Tokyo indie music scene, Ruby Room is a little box of a venue that punches well above its size. Though the venue only holds around 150 people, it's drawn all sorts of top-notch acts including Basement Jaxx, Hernan Cattaneo and Belle & Sebastian to play impromptu sets. 
Their weekly open mic night on Tuesdays is an institution and where a good chunk of local musicians get their start (and find their future bandmates). Depending on the night of the week, the vibe can go from chill acoustic to cluby, but visitors are sure to catch something special whenever you stop by.
Visit the Ruby Room website for upcoming show details and more information.",https://www.facebook.com/RubyTokyo/,"1200,1500,1530",$$,19:00,05:00,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2.5,No,5
Shimokitazawa 69demonai46,"Louis Building 3F, 2-6-5 Kitazawa, Setagaya-ku",Tokyo,Kantō,Japan,35.661427,139.669025,TOK_S69_01.jpg,"Up a metal staircase and perched atop a couple other bars and music venues in the hip neighborhood of Shimokitazawa is this under-rated little live house gem. Though the Japanese name ('rokudemonaiyoru', or 'ろくでもない夜') translates to something like 'a night without rock', this place is all about excellent music (most of it actually being rock).
The best part of this venue, besides the top-of-the-line bands it attracts, is the layout. Unlike most Tokyo live houses, the space is divided into a raucous stage area and a quieter bar area. A relatively sound-proof door separates the two, so visitors can easily step out of the high-energy din for a mellow drink and chat. The performance in the adjacent room is streamed on a TV near the bar, too, so don't have to worry about missing anything.Visit the Shimokitazawa website for upcoming show details and more information.",http://69demonai46.com/,"1200,1500",$$,See website,See website,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2.5,No,4
What the Dickens,"1 Chome-13-3 Ebisunishi, Shibuya City",Tokyo,Kantō,Japan,35.6476,139.708,TOK_WTD_01.jpg,"Located on the top floor of the building which used to house club Milk, What The Dickens brings British pub ambience to the Ebisu area. The walls, even in the men’s room, are plastered with Dickensian manuscripts, and the food is decidedly typical British pub fare.
The two-level space is way bigger than the word 'pub' probably conjures. A spotlight-drenched main stage is easily visible from the bar, ground floor corners and overhead balcony, making for some of the best music visuals of anywhere in Tokyo.
Visit the What the Dickens website for upcoming show details and more information.",http://www.whatthedickens.jp/,"1200,1500",$,17:00,23:59,Evening,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,2.5,No,3
Aoyama Moon Romantic,"Minato City, 9, 南青山4−9−1シンプル青山ビルB1F",Tokyo,Kantō,Japan,35.6674,139.7183,TOK_AMR_01.jpg,"With wall-to-wall live painting, live video-projected painting, a giant opalescent moon dropping from the ceiling and a second floor balcony overlooking it all, this might be one of the most beautiful live music venues in Tokyo. The 200-capacity two-story space is designed to put the music front and centre, with a low-key bar along the wall at stage right and tons of little tables on both the ground floor and balcony.
The magnificent lighting reflected off the hanging moon also means excellent live pics, and the sound system is superb enough to keep up with all of the venue's other manifold attractions. This one's definitely a favorite among locals, and though the venue is surprisingly hush-hush about this, it was also featured on HBO's ‘Girls'.Visit the Aoyama Moon Romantic website for upcoming show details and more information.",http://www.moonromantic.com/,"1200,1500,1900,1910,2100",$$$,See website,See website,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,3,No,1
Gamuso,"2 Chome-12-5 Asagayakita, Suginami City",Tokyo,Kantō,Japan,35.7051,139.6346,TOK_GAM_01.jpg,"This narrow two-story bar and live house is an old-time favorite among the expat and local music community. Taking up the second and third floors of a tiny building in the middle of one of Tokyo's jazz hubs, the second floor bar is about as cramped as they come, but upstairs from that is where visitors will find the music (and a bit more space). The smallness of the venue generally means the music is a bit more chill, though they've featured everything from metal to punk to EDM over the years. The music space also doubles as an art gallery, with a rotating selection of local artists on display.
Although there's no way to watch the music and enjoy the bar at the same time, it's worth stepping downstairs for a beer (and then quickly heading back up), since they've got an excellent selection on tap, including tons of local craft and micro-brews. Visit the Gamuso website for upcoming show details and more information.",http://gamuso.com/,"1100,1200,1500,1510",$$,20:00,04:00,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,2
Shinshu Osake Mura,"2 Chome−20−15, Shinbashi, Minato City",Tokyo,Kantō,Japan,35.6664,139.7596,TOK_SOM_01.jpg,"Literally “Shinshu (Nagano) Alcohol Village”, this place has beer from only a single prefecture in Japan. Luckily, that prefecture makes some of the best beer in Japan and luckier still the bar sells it for wholesale prices. The price of Shiga Kogen beer is even cheaper than what visitors would find in a liquor shop. The staff are knowledgeable and friendly and will do their best to explain the different brews. In summer it can be a little hot and stuffy, but beer is the perfect antidote.",https://beertengoku.com/2016/03/02/shinshu-osake-mura/,1510,$$,11:00,18:30,Afternoon,"Mon, Tues, Wed, Thurs, Fri, Sat",Sun,2,No,5
Craft Beer Bar IBREW,"2 Chome−11−7, Yaesu, Chuo City",Tokyo,Kantō,Japan,35.6756,139.7674,TOK_CBBI_01.jpg,"Nestled next to an elevated expressway between Yaesu and Ginza, IBREW is a tiny bar that spills on to the street with kegs and rounds of wood for tables outside. They have ten taps pouring a variety of Japanese and Tokyo craft brews. On any given day, there can be beers from Hideji, North Island, Baird, Hakodate Beer, Romantic Village (better than it sounds), Minami-Shinshu, or more. According to the bar staff, they often have Minoh and Shiga Kogen brews on tap as well.",https://tokyocheapo.com/restaurant/craft-beer-bar-ibrew/,1510,$,13:00,22:30,Evening,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,4
Titans Craft Beer Taproom & Bottle Shop,"3-53-7 Minamiotsuka, 豊島区 Toshima City",Tokyo,Kantō,Japan,35.730811,139.728438,TOK_TCBP_01.jpg,"Titans is the beautiful offspring of a partnership between two beer importers: AQ Bevolution and Beer Cats. The 10 beers on tap rotate through the offerings from AQ Bevolution and Beer Cats with the odd Japanese guest beer. Prices start at ¥700 for a goblet and ¥1,300 for an enormous 700 ml “Titan” tankard. For value hunters, they have an ¥8,000 discount card that entitles patrons to 11 regular-size beers and one titan. Bottles in the fridge start from about ¥500, though, there’s a ¥300 corkage charge to drink it inside Titans.",https://beertitans.com/,"1510,2000",$$,15:00,21:30,Evening,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,2
Another8,"1 Chome-2-18 Shimomeguro, Meguro City",Tokyo,Kantō,Japan,35.6338,139.7133,TOK_A8_01.jpg,"The Tokyo branch of craft beer bar Before9 in Kyoto is just as hip, with clean lines, light wood furnishings, and eight beer taps set into a wall with a textured mud finish. Located on a side street of the low-key Meguro neighborhood, Another8 is chill and stylish (like the crowd) and a relaxed place to stop in for an early evening drink (Japanese beer is the name of the game here). There’s a standing area at the front, a few tables, and seats set into the walls.",https://www.facebook.com/another8.sakahachi/,"1500,1510",$,17:00,01:00,Evening,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2.5,No,2
Winestand Waltz,"4 Chome-24-3 Ebisu, 渋谷区 Shibuya City",Tokyo,Kantō,Japan,35.6453,139.7158,TOK_WW_01.jpg,"There’s only room for about eight guests at Waltz, a standing-room-only wine bar in a GPS-confounding location about 10 minutes away from Ebisu station. Visitors will know they’re in the right place once they slide open the glass door and see the Jaques Tati posters and bottles of natural wines, largely from France and Italy, chilling quietly in a corner. The bearded and bespectacled owner Yasuhiro Ooyama always has something interesting on his rotating list. He favors the Jura and Japanese wine but also has several bottles made by Japanese producers based in France.",https://www.facebook.com/pages/category/Wine-Bar/Winestand-Waltz-801855413162402/,"1500,1550",$$,19:15,23:59,Evening,"Mon, Tues, Wed, Thurs, Fri, Sat",Sun,2,No,2
Gem by Moto,"1 Chome-30-9 Ebisu, Shibuya City",Tokyo,Kantō,Japan,35.6475,139.7175,TOK_GBM_01.jpg,"Sake is on the menu at Gem (pronounced ""gem,"" as in jewel), a counter-only specialist in between Ebisu and Hiroo. The space is calming and uncluttered, softly illuminated by cute and quirky miss-matched glass lamps. Messages in black ink from brewery owners and sake personalities cover the bar’s white walls. Marie Chiba pours brews for the laid-back after-five crowd from her favorite boutique producers, which on a recent visit included Senkin and Jikon.",https://www.facebook.com/GEM-by-moto-571019993039397/,"1500,1520,1550",$$$$,17:00,21:00,Evening,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,2,No,3
Bar Trench,"1 Chome−5−8 ＤＩＳビル, Ebisunishi, Shibuya City",Tokyo,Kantō,Japan,35.6484,139.708,TOK_BT_01.jpg,"The sepia-toned atmosphere at Bar Trench—with its wood-and-glass façade exposed brick wall, and substantial library of libation literature—recalls the golden days of cocktail culture. Grab a stool and get into the capable hands of Rogerigo Igarashi Vaz, Trench’s suave and formidably mustachioed Japanese-Brazilian co-owner and head bartender, who mixes a mean Black Manhattan, made with Amaro instead of Vermouth.",http://small-axe.net/bar-trench/,"1500,1520",$$,19:00,01:00,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,4
Gen Yamamoto,"1 Chome−6−4, Azabujuban, Minato City",Tokyo,Kantō,Japan,35.6565,139.7343,TOK_GY_01.jpg,"Gen Yamamoto’s eponymous bar is a serene oasis with eight seats around a handsome bar made from 500-year old Mizunara oak. He approaches cocktail making with a chef-like respect for ingredients and emphasis on balance. Yamamoto’s drinks are fresh, focused, and never boozy. Choose the tasting flight of four miniature cocktails (there’s also a six-variety option), which showcase seasonal local fruit. His choice of spirits is as unique and wonderful as the delicate glassware.",http://genyamamoto.jp/bar_tokyo/English.html,"1500,1520,1910",$$$$,15:00,23:00,Evening,"Tues, Wed, Thurs, Fri, Sat","Sun, Mon",2.5,No,2
Zoetrope,"新宿区Nishishinjuku, 7−10-14 ガイアビル４, Shinjuku City",Tokyo,Kantō,Japan,35.6945,139.6985,TOK_ZOE_01.jpg,"Atsushi Horigami was one of the early evangelists of Japanese whisky, and Zoetrope’s 300-plus library of domestic whisky is a testament to his dedication. His collection includes rare finds such as 18-year-old Kirin Fuji Sanroku single-malt from Fuji Gotemba distillery, and several items in the elusive Ichiro’s Malt card series. A trip to Zoetrope is a learning experience. Horigami can set up vertical and horizontal tastings of Nikka and Yamazaki, or guide his patrons through obscure, limited-production drams.",https://www.worldsbestbars.com/bar/tokyo/city-center/zoetrope-2/,"1500,1520",$$,17:00,00:15,Evening,"Mon, Tues, Wed, Thurs, Fri, Sat",Sun,2,No,1
Ahiru Store,"1 Chome-19-4 Tomigaya, 渋谷区 Shibuya City",Tokyo,Kantō,Japan,35.6658,139.692,TOK_AS_01.jpg,"Situated on a leafy corner 10 minutes away from Shibuya station, Ahiru Store is a mecca of hard-to-find natural wines (mostly from France). The rustic décor reflects the bar’s priorities. Empty bottles and the autographs of cult producers like Pacalet and Domaine de L’Aglore adorn the walls and windows, and daily offerings are listed on a heavy black chalkboard. Lines of fervent (and frequently bearded) natural wine fanatics begin forming in the late afternoon, before Ahiru Store opens at 6 p.m.",https://www.facebook.com/pages/Ahiru-Store/1614759035410838,"1500,1550",$$,18:00,23:59,Evening,"Mon, Tues, Thurs, Fri","Sun, Wed, Sat",1.5,No,4
Star Bar,"5, 中央区銀座１−５−１３ 三弘社ビル B1F, Chuo City",Tokyo,Kantō,Japan,35.673938,139.759166,TOK_SBG_01.jpg,"Star Bar is a small but beautiful gin joint in the basement of a narrow building in Ginza. Some of Tokyo’s most respected barmen—such as High Five’s Hidetsugu Ueno and Land Bart Artisan’s Daisuke Ito—honed their skills here, under the watchful eye of owner Hisashi Kishida, one of the godfathers of Japanese bartending. Crystal-clear hand-cut ice cubes carved with exacting precision add the final touch to a classic Negroni (made with just enough gin to give it gravitas), while the Manhattan strikes the perfect balance between sweet and dry.",https://www.worldsbestbars.com/bar/tokyo/city-center/star-bar-ginza/,"1500,1520",$$$,17:00,23:30,Evening,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,2,No,2
Ant ’n Bee,"5 Chome−1−5 地下1階, Roppongi, Minato City",Tokyo,Kantō,Japan,35.6627,139.733,TOK_ANB_01.jpg,"Opened in 2010, Ant 'n Bee was one of the first craft-beer bars in Tokyo, and it’s still one of the best. Both the vibe and decor at this tiny basement hideout in the middle of clubby Roppongi is poised between British pub and Japanese cafe, with 20 rotating taps of Japanese beer set into the wall. Visitors will find brews from pioneering producers like Sankt Gallen, Minoh, and Shiga Kogen, as well as a menu of well-executed bar snacks; on a recent visit, hot wings and potato salad were among the offerings. The tight space tends to get smoky, but the friendly folks at Ant 'n Bee have got everyone’s beer needs covered.",https://www.facebook.com/antnbee/,1510,$$,17:00,03:00,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,4
Mixology Laboratory,"1 Chome−6−1 八重洲第三パークビル3F, Yaesu, Chuo City",Tokyo,Kantō,Japan,35.681617,139.770214,TOK_ML_01.jpg,"The door to Mixology Lab, situated in a drab office building near Tokyo station, opens onto a trompe l’oeil wall that conceals the real entrance. The décor channels the glamour of London in the ‘40s, at the height of cocktail culture’s heyday, before mixology was a thing. The bar stools are upholstered in turquoise velveteen; a black-and-white diamond-patterned rug covers the floor, while retro lamps hang from the ceiling and Shuzo Nagumo (the Willy Wonka of spirits and owner of a small empire of experimental cocktail bars in Tokyo) stands before a dramatically backlit bar flanked by heavy blue curtains.",https://www.facebook.com/mixologylaboratory/,"1500,1520,1910",$$,18:00,01:00,Night,"Mon, Tues, Wed, Thurs, Fri, Sat",Sun,1.5,No,5
Tokyo Whiskey Library,"5 Chome−5−24, Minamiaoyama, Minato City",Tokyo,Kantō,Japan,35.66358,139.712951,TOK_TWL_01.jpg,"Inside Tokyo Whisky Library, the vast and opulent space—all brick walls and dark wood with plush sofas and multiple chandeliers—offers a first-rate introduction to the world of whisky. The bar carries more than 1,000 international varieties, displayed on the backlit library shelves like a giant piece of amber installation art. Award-winning mixologist Michito Kaneko creates sublime cocktails based on classics like the Old Fashioned.",http://www.tokyo-whisky-library.com/en/index.html,"1500,1520",$$,18:00,03:00,Night,"Mon, Tues, Wed, Thurs, Fri, Sat",Sun,2,No,3
Contact,"12 10, 2-chōme, Dōgenzaka Shibuya-ku",Tokyo,Kantō,Japan,35.6585,139.6977,TOK_CON_01.jpg,"Located in the heart of the constantly buzzing Shibuya neighbourhood is one of Tokyo’s most revered and impressive clubs. With an excellent sound system and a clientele who are reliably up for a good time, it’s clear why the likes of Marcel Dettmann, Ben Klock, Nicolas Jaar and Giorgio Moroder have rolled through Contact’s doors in recent times. The main room features a very strict no-drinks, no-cameras policy, and the venue tends to attract the more discerning techno and dance music fan. The entrance is hidden back from the city’s main streets, and to gain access to the venue, visitors must register online to become a member, but once through the doors the effort is worth it.",http://www.contacttokyo.com/,"1500,1530",$$,22:00,04:00,Night,"Mon, Tues, Wed, Fri, Sat","Sun, Thurs",2,No,4
A-Life,"ECONACH西麻布ビル, 2 7, 1-chōme, Nishiazabu Minato-ku",Tokyo,Kantō,Japan,35.6608,139.7262,TOK_AL_01.jpg,"Roppongi is well known as Tokyo’s ultimate clubbing suburb, and one of the area’s most popular nightspots is A-Life. It’s spread over three floors, and the music here is all about unpretentious, good old-fashioned fun – think cheesy bangers and top-40 hits. The venue also offers great value for money, with three drinks for ¥1,000 (£7) before 11pm.",http://e-alife.net/,"1500,1530",$$,21:00,05:00,Night,"Mon, Tues, Wed, Thurs, Fri, Sat",Sun,2,No,4
AgeHa,"10 2, 2 Chome, Shinkiba Kōtō-ku",Tokyo,Kantō,Japan,35.6422,139.8253,TOK_AGH_01.jpg,"With multiple dance floors, a roster of the biggest names on the electronic music scene, waterfront views and even a pool on the balcony, AgeHa is the best place to go for a big night out in Tokyo. Because it’s so large, the club is actually located a little out of the city in Shin-Kiba, but there are free shuttle buses to and from Shibuya all night long. Once getting here though, leaving will be the last thing on anyone’s mind.

Check the website for showtimes and advanced ticket purchase.",http://www.ageha.com/,"1200,1500,1530",$$$,See website,See website,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,4,No,2
Arty Farty,"7 11, 2-chōme, Shinjuku Shinjuku City",Tokyo,Kantō,Japan,35.6904,139.7073,TOK_AF_01.jpg,"Arty Farty is a great place to stumble into after a few boozy drinks in the Shinjuku Ni-chōme area, Tokyo’s LGBTQ hub. The popular dance club always has a fun and welcoming crowd, the menu is foreigner-friendly and the drinks are reasonably priced. A cover charge of ¥2,500 (£17) provides guests with one drink once inside and allows visitors to come and leave as they please, meaning they can hop back and forth to the club from nearby bars. The entrance fee also gives free access to their sister club, The Annex, which is located nearby.",http://www.arty-farty.net/,"1500,1530",$$,20:00,04:00,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,3
Sankeys Penthouse,"２８, 10F・11F キュープラザ原宿, 6 Chome-28-6 Jingumae, Shibuya City",Tokyo,Kantō,Japan,35.667103,139.704074,TOK_SP_01.jpg,"This nightclub franchise, which originally opened its doors in Manchester, UK, has locations worldwide and has now opened an outpost in Tokyo. Occupying the top two floors of Q-Plaza, Sankeys Penthouse overlooks Harajuku’s colorful and busy streets. Grab a drink in the casual bar area and dance the night away on the 10th floor, or go upstairs and sit on an almost-too-comfortable couch to chat with friends. With tall ceilings and a terrace, the top floor replicates a fancy hotel bar, making it the perfect place for a sophisticated night on the town.",https://sankeyspenthouse.com/,1500,$$,12:00,23:59,Evening,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,5
Harlem,"２−4, Dr.ジーカンス, Maruyamacho, Shibuya City",Tokyo,Kantō,Japan,35.6583,139.6954,TOK_HAR_01.jpg,"Having opened its doors in 1997, this Shibuya institution still has a reputation for being the best hip-hop club, not only in Tokyo, but in the whole of Japan. Booking both local and international DJs and performers, the venue is as diverse as the music is loud – and it’s really loud. Harlem is also a great place in Tokyo for witnessing up-and-coming Japanese hip-hop stars cut their teeth and learn the tricks of the trade before taking over the Japanese hip-hop charts.",http://www.harlem.co.jp/,"1200,1500,1530",$$$,22:00,05:00,Night,"Mon, Tues, Wed, Thurs, Fri, Sat",Sun,2,No,3
PLUSTOKYO,"1 Chome−8−19, Ginza",Tokyo,Kantō,Japan,35.6743,139.768638,TOK_PT_01.jpg,"Ginza is Tokyo’s most popular shopping district, featuring high-end brands and numerous department stores. But among all the glitz and glamour is one of the city’s hottest nightclubs, PLUSTOKYO, which opened its doors in November 2018. Each room has a different theme – step inside to be greeted by an enormous painting of Mount Fuji that resembles murals in Japanese public baths. Continue into several rooms and hallways decorated with modern art pieces and neon signs, a punk-themed VIP room and another room illuminated with pink-hued lighting, all of which combine to make PlusTokyo the perfect playground for art aficionados. This venue has hosted several popular DJs already, including Steve Aoki and Alice Wonderland.",http://plustyo.com/,"1500,1530",$$,12:00,23:59,Evening,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,2,No,1
Studio Himawari,"ミヤタビル, 12 4, 1 Chome, Kabukicho Shinjuku City",Tokyo,Kantō,Japan,35.6941,139.7037,TOK_SH_01.jpg,"Located in Kabukicho, this snack bar will have visitors singing alongside live electric guitar and whatever other instruments the owners happen to have lying around. Studio Himawari offers their karaoke sessions for 3,000 yen including snacks and tea, while alcoholic drinks begin at a reasonable 500 yen. The studio is open until 7AM, making it popular with other bar staff who work in the neighborhood. Closed on Wednesdays.",http://pub-kara-himawari.com/,1540,$$,19:30,07:00,Night,"Sun, Mon, Tues, Thurs, Fri, Sat",Wed,2,No,2
Pasela Resorts,"16 3, 1-chōme, Kabukichō Shinjuku-ku",Tokyo,Kantō,Japan,35.69781,139.770351,TOK_PR_01.jpg,"Known to collaborate with popular manga and anime franchises, Pasela Resorts karaoke and restaurant is a haven for gamers and otaku. But their impressive selection of foreign songs is contributing to the karaoke bar’s popularity among expats, too.",http://www.pasela.co.jp/shop/shinjuku/karaoke/index.html?mb-listing,"1500,1540",$$,15:00,08:00,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,4
